TEMPLATE_ID,SUBJECT_ID,FILENAME,SIGHTING_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_X,NOSE_Y
1,1,img/116262.jpg,69544,268,32,40,47,288,53,295,53,291,60
1,1,img/4702.jpg,3720,93,84,76,100,133,133,157,136,148,151
1,1,img/2597.jpg,3,68,63,138,166,166,160,192,157,183,186
1,1,img/2416.jpg,1,32,25,119,149,78,100,118,101,99,126
1,1,img/5127.jpg,3726,159,36,56,75,174,77,194,77,185,89
1,1,img/116526.jpg,69607,2211,699,337,380,2290,869,2400,866,2345,943
1,1,img/3905.jpg,3727,99,40,112,146,192,125,NaN,NaN,202,147
2,4,img/4781.jpg,7907,2694,785,552,681,NaN,NaN,2760,1165,2769,1275
2,4,img/3718.jpg,7915,1316,1095,319,395,1582,1316,1609,1308,1612,1376
2,4,img/55539.jpg,33727,604,160,268,323,694,325,794,314,757,382
2,4,img/192.jpg,7921,813,702,765,816,1250,1071,1480,1067,1423,1259
2,4,img/2921.jpg,37,473,290,123,168,502,380,548,381,522,411
2,4,img/2653.jpg,7912,3872,436,265,356,3905,634,3961,626,3917,693
2,4,img/1344.jpg,27,71,33,139,169,145,126,191,125,175,159
2,4,img/1231.jpg,25,93,32,262,333,125,205,196,206,146,269
2,4,img/1333.jpg,7875,1730,518,257,288,1751,667,1793,678,1753,721
2,4,img/55538.jpg,33726,397,989,305,390,504,1196,610,1191,558,1266
2,4,img/55557.jpg,33729,321,222,222,288,450,371,516,373,495,423
2,4,img/55537.jpg,33725,327,140,217,224,487,218,533,225,525,274
2,4,img/55558.jpg,33730,1263,199,193,238,1282,313,1317,306,1285,357
2,4,img/55536.jpg,33724,424,126,165,236,482,251,545,254,514,293
2,4,img/5164.jpg,7918,703,731,489,663,856,1083,1046,1070,968,1202
2,4,img/4566.jpg,7876,97,92,49,53,136,120,NaN,NaN,143,128
2,4,img/1800.jpg,7926,155,97,73,92,188,147,212,144,203,162
2,4,img/1226.jpg,7862,335,51,43,57,349,85,364,85,356,96
2,4,img/2313.jpg,7908,714,996,696,758,1247,1359,1335,1358,1373,1495
2,4,img/55535.jpg,33723,664,196,124,155,685,269,729,260,707,298
2,4,img/55631.jpg,33734,1338,1617,354,401,1557,1826,1645,1831,1618,1903
3,5,img/980.jpg,6174,217,30,165,230,307,162,359,159,343,206
3,5,img/4630.jpg,6168,586,16,294,341,NaN,NaN,631,199,610,251
3,5,img/4851.png,6179,1377,544,166,205,1438,657,1486,654,1464,693
3,5,img/1723.jpg,6157,235,107,148,190,293,205,343,205,320,239
3,5,img/4591.jpg,6144,213,104,86,110,256,164,282,163,271,183
3,5,img/4401.jpg,42,321,69,85,95,366,115,389,114,382,132
3,5,img/2630.jpg,6193,151,187,72,99,171,245,198,241,187,262
3,5,img/4080.jpg,48,128,68,55,70,146,107,165,106,156,119
3,5,img/1654.jpg,6146,22,17,108,134,117,89,NaN,NaN,123,112
3,5,img/4673.jpg,6139,90,130,68,82,141,180,154,176,151,192
3,5,img/989.jpg,6172,101,2,97,126,186,74,NaN,NaN,192,94
